2019-11-27 16:05:03.046 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5224 ms
2019-11-27 16:05:03.201 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.4117 ms
2019-11-27 16:05:03.236 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.1903 ms
2019-11-27 16:05:03.661 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 20.6372 ms
2019-11-27 16:05:03.673 +02:00 [INF] HTTP GET /notification?id=B13lDV4gik0bt9tLNkUmwQ responded 101 in 472.5533 ms
2019-11-27 16:05:03.970 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7687 ms
2019-11-27 16:05:04.034 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3539 ms
2019-11-27 16:05:04.103 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.1144 ms
2019-11-27 16:05:04.679 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 41.6813 ms
2019-11-27 16:05:04.705 +02:00 [INF] HTTP GET /notification?id=3jxmamhKfJpo-3L9JX-rcg responded 101 in 671.3585 ms
2019-11-27 16:05:05.260 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6736 ms
2019-11-27 16:05:05.353 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.6593 ms
2019-11-27 16:05:05.453 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.954 ms
2019-11-27 16:05:05.721 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 44.8292 ms
2019-11-27 16:05:05.733 +02:00 [INF] HTTP GET /notification?id=jdhOAtLKcaYziZDj14O6zg responded 101 in 416.0372 ms
2019-11-27 16:05:06.192 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 3.3073 ms
2019-11-27 16:05:07.045 +02:00 [INF] HTTP GET /Manager/Register responded 200 in 5.953 ms
2019-11-27 16:05:07.062 +02:00 [INF] HTTP GET /notification?id=xd-uA4Q4cHcbL3V4mQXwSQ responded 101 in 819.5345 ms
2019-11-27 16:05:07.568 +02:00 [INF] HTTP GET /Manager/images/icons/favicon.ico responded 302 in 0.9841 ms
2019-11-27 16:05:07.603 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.0523 ms
2019-11-27 16:05:08.662 +02:00 [INF] HTTP GET / responded 302 in 1.5579 ms
2019-11-27 16:05:08.711 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 38.9038 ms
2019-11-27 16:05:09.083 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6473 ms
2019-11-27 16:05:09.118 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3674 ms
2019-11-27 16:05:09.127 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7525 ms
2019-11-27 16:05:17.164 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 59.889 ms
2019-11-27 16:05:17.183 +02:00 [INF] HTTP GET /Manager/Register responded 302 in 0.591 ms
2019-11-27 16:05:17.192 +02:00 [INF] HTTP GET /?ReturnUrl=%2FManager%2FRegister responded 200 in 0.6463 ms
2019-11-27 16:05:49.360 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 55.2655 ms
2019-11-27 16:05:49.431 +02:00 [INF] HTTP GET /notification?id=YdJBfVYihe2gK9lXR3FpwA responded 101 in 40326.8303 ms
2019-11-27 16:05:49.876 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7615 ms
2019-11-27 16:05:49.910 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.6982 ms
2019-11-27 16:05:49.919 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.1228 ms
2019-11-27 16:05:55.189 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 9.5162 ms
2019-11-27 16:05:55.211 +02:00 [INF] HTTP GET /Home/Privacy responded 302 in 0.8133 ms
2019-11-27 16:05:55.223 +02:00 [INF] HTTP GET /?ReturnUrl=%2FHome%2FPrivacy responded 200 in 1.4395 ms
2019-11-27 16:05:55.233 +02:00 [INF] HTTP GET /notification?id=-g3uIU6KwSeT66mDF99Gdg responded 101 in 5340.6577 ms
2019-11-27 16:05:57.589 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 59.0643 ms
2019-11-27 16:05:57.624 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 19.4627 ms
2019-11-27 16:05:58.213 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.0995 ms
2019-11-27 16:05:58.287 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 2.1011 ms
2019-11-27 16:05:58.296 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8696 ms
2019-11-27 16:06:03.194 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 64.883 ms
2019-11-27 16:06:03.238 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 30.4512 ms
2019-11-27 16:06:03.446 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4997 ms
2019-11-27 16:06:03.463 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3 ms
2019-11-27 16:06:03.478 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8047 ms
2019-11-27 16:06:04.201 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 87.6992 ms
2019-11-27 16:06:04.213 +02:00 [INF] HTTP GET /notification?id=_NIuRx-5-mfD8CRnSSF_4A responded 101 in 749.7781 ms
2019-11-27 16:06:04.544 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5889 ms
